,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome_Label,CoapplicantIncome_Label,LoanAmount_Label,Term,Credit_History,Property_Area,Decision
0,Male,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
1,Male,Yes,1,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Rural,N
2,Male,Yes,0,Graduate,Yes,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
3,Male,Yes,0,Not Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
4,Male,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
5,Male,Yes,2,Graduate,Yes,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
6,Male,Yes,0,Not Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
7,Male,Yes,3+,Graduate,No,Low,Low,Few,0.06196581196581197,0.0,Semiurban,N
8,Male,Yes,2,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
9,Male,Yes,1,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,N
10,Male,Yes,2,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
11,Male,Yes,2,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
12,Male,Yes,2,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
13,Male,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Rural,N
14,Male,Yes,2,Graduate,No,Low,Low,Few,0.019230769230769235,1.0,Urban,Y
15,Male,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
16,Male,No,1,Not Graduate,No,Low,Low,Few,0.0405982905982906,1.0,Urban,Y
17,Female,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,0.0,Urban,N
18,Male,Yes,0,Not Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Rural,N
19,Male,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
20,Male,Yes,0,Not Graduate,No,Low,Low,Few,0.06196581196581197,0.0,Urban,N
21,Male,Yes,1,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
22,Male,Yes,0,Not Graduate,No,Low,Low,Few,0.06196581196581197,0.0,Semiurban,N
23,Male,Yes,2,Not Graduate,No,Low,Low,Few,0.06196581196581197,0.0,Rural,N
24,Male,Yes,1,Graduate,No,Low,Low,Few,0.06196581196581197,0.0,Semiurban,N
25,Male,Yes,0,Graduate,Yes,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
26,Male,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
27,Male,Yes,2,Not Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
28,Male,No,0,Not Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,N
29,Female,No,2,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
30,Male,Yes,1,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,N
31,Male,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,N
32,Male,No,1,Graduate,Yes,Low,Low,Few,0.06196581196581197,1.0,Rural,N
33,Male,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
34,Male,No,3+,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Rural,N
35,Male,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
36,Male,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,0.0,Urban,N
37,Female,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
38,Male,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
39,Male,No,0,Not Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
40,Male,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,N
41,Male,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
42,Male,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
43,Male,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
44,Male,Yes,0,Not Graduate,Yes,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
45,Female,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
46,Male,Yes,1,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
47,Male,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
48,Female,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,0.0,Urban,N
49,Female,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
50,Female,Yes,0,Not Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
51,Female,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
52,Female,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,N
53,Male,Yes,2,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,N
54,Female,Yes,1,Graduate,Yes,Low,Low,Few,0.06196581196581197,0.0,Urban,N
55,Male,Yes,2,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
56,Male,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
57,Male,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Rural,N
58,Male,Yes,1,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
59,Male,Yes,2,Not Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
60,Male,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
61,Male,Yes,3+,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
62,Male,Yes,0,Not Graduate,Yes,Low,Low,Few,0.029914529914529916,0.0,Rural,N
63,Male,Yes,1,Graduate,No,Low,Low,Few,0.06196581196581197,0.0,Rural,N
64,Female,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,0.0,Semiurban,N
65,Male,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,N
66,Male,No,0,Not Graduate,No,Low,Low,Few,0.029914529914529916,0.0,Urban,N
67,Male,Yes,1,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
68,Male,Yes,3+,Not Graduate,Yes,Low,Low,Few,0.008547008547008548,1.0,Urban,Y
69,Female,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,0.0,Semiurban,N
70,Male,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
71,Male,Yes,2,Not Graduate,Yes,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
72,Male,No,0,Graduate,No,Low,Low,Few,0.05128205128205129,1.0,Semiurban,Y
73,Male,Yes,3+,Not Graduate,No,Low,Low,Few,0.05128205128205129,0.0,Semiurban,N
74,Male,Yes,3+,Graduate,Yes,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
75,Male,No,0,Graduate,No,Low,Low,Few,0.08333333333333336,1.0,Urban,N
76,Male,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,N
77,Male,Yes,1,Graduate,Yes,Low,Low,Few,0.06196581196581197,1.0,Urban,N
78,Male,Yes,3+,Graduate,No,Low,Low,Few,0.05128205128205129,0.0,Semiurban,N
79,Male,Yes,3+,Not Graduate,Yes,Low,Low,Few,0.06196581196581197,0.0,Semiurban,Y
80,Female,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
81,Male,Yes,1,Graduate,Yes,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
82,Female,Yes,2,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,N
83,Male,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,N
84,Male,Yes,1,Graduate,No,Low,Low,Few,0.0405982905982906,1.0,Urban,Y
85,Male,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
86,Male,Yes,2,Not Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
87,Male,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
88,Male,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
89,Male,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
90,Male,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
91,Male,Yes,2,Graduate,No,Low,Low,Few,0.029914529914529916,1.0,Semiurban,Y
92,Male,Yes,2,Not Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
93,Male,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
94,Male,No,0,Not Graduate,No,Low,Low,Few,0.019230769230769235,1.0,Semiurban,Y
95,Male,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,N
96,Female,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
97,Male,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
98,Male,Yes,0,Not Graduate,No,Low,Low,Few,0.029914529914529916,1.0,Semiurban,Y
99,Male,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
100,Male,Yes,2,Not Graduate,No,Low,Low,Few,0.029914529914529916,1.0,Urban,Y
101,Male,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
102,Male,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
103,Male,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
104,Male,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
105,Male,Yes,1,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
106,Male,Yes,2,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
107,Male,No,0,Not Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Rural,N
108,Male,Yes,2,Graduate,No,Low,Low,Few,0.06196581196581197,0.0,Urban,N
109,Male,Yes,3+,Not Graduate,No,Low,Low,Few,0.08333333333333336,1.0,Semiurban,Y
110,Male,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
111,Female,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
112,Male,Yes,0,Not Graduate,No,Low,Low,Few,0.06196581196581197,0.0,Rural,N
113,Female,No,1,Graduate,Yes,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
114,Male,No,0,Graduate,Yes,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
115,Male,Yes,1,Graduate,No,Low,Low,Few,0.029914529914529916,1.0,Rural,Y
116,Female,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
117,Male,Yes,1,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
118,Male,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Rural,N
119,Female,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
120,Male,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Rural,Y
121,Female,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
122,Female,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,0.0,Semiurban,Y
123,Male,Yes,2,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
124,Male,Yes,0,Not Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Rural,Y
125,Female,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Rural,Y
126,Female,Yes,3+,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Rural,Y
127,Male,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Rural,Y
128,Male,Yes,1,Graduate,Yes,Low,Low,Few,0.029914529914529916,0.0,Urban,N
129,Male,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,0.0,Rural,N
130,Male,No,0,Graduate,Yes,Low,Low,Few,0.08333333333333336,0.0,Urban,Y
131,Male,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
132,Male,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
133,Male,Yes,0,Graduate,Yes,Low,Low,Few,0.019230769230769235,1.0,Semiurban,Y
134,Male,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
135,Male,Yes,3+,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,N
136,Female,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Rural,N
137,Male,Yes,2,Graduate,Yes,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
138,Male,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,0.0,Semiurban,N
139,Male,Yes,2,Not Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Rural,N
140,Male,Yes,2,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Rural,N
141,Male,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
142,Male,No,0,Graduate,Yes,Low,Low,Few,0.029914529914529916,1.0,Semiurban,Y
143,Male,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
144,Male,Yes,2,Graduate,No,Low,Low,Few,0.029914529914529916,1.0,Urban,Y
145,Female,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
146,Female,Yes,2,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
147,Male,Yes,1,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
148,Female,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Rural,N
149,Male,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
150,Male,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,0.0,Rural,N
151,Male,Yes,0,Graduate,Yes,Low,Low,Few,0.06196581196581197,1.0,Rural,Y
152,Male,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,N
153,Male,Yes,2,Not Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Rural,N
154,Male,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
155,Male,Yes,3+,Graduate,No,Low,Low,Few,0.029914529914529916,0.0,Semiurban,Y
156,Male,Yes,1,Graduate,No,Low,Low,Few,0.06196581196581197,0.0,Rural,Y
157,Male,Yes,1,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
158,Male,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Rural,Y
159,Male,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
160,Male,Yes,0,Not Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
161,Male,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,N
162,Male,Yes,1,Graduate,No,Low,Low,Few,0.06196581196581197,0.0,Semiurban,N
163,Male,Yes,2,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Rural,Y
164,Male,Yes,0,Graduate,No,Low,Low,Few,0.029914529914529916,1.0,Urban,Y
165,Male,Yes,0,Graduate,No,Low,Low,Few,0.029914529914529916,1.0,Rural,Y
166,Female,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Rural,N
167,Male,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Rural,Y
168,Male,No,0,Graduate,No,Low,Low,Few,0.08333333333333336,0.0,Semiurban,N
169,Male,Yes,2,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
170,Male,Yes,0,Not Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Rural,Y
171,Male,Yes,3+,Graduate,No,Low,Low,Few,0.05128205128205129,1.0,Urban,Y
172,Male,Yes,3+,Not Graduate,No,Low,Low,Few,0.029914529914529916,1.0,Rural,N
173,Male,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
174,Male,Yes,0,Not Graduate,Yes,Low,Low,Few,0.06196581196581197,1.0,Semiurban,N
175,Male,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Rural,Y
176,Male,Yes,2,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Rural,Y
177,Male,Yes,3+,Graduate,No,Low,Low,Few,0.06196581196581197,0.0,Semiurban,N
178,Male,Yes,1,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
179,Male,No,0,Not Graduate,No,Low,Low,Few,0.08333333333333336,0.0,Urban,N
180,Male,Yes,1,Graduate,No,Low,Low,Few,0.06196581196581197,0.0,Urban,N
181,Male,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,0.0,Rural,N
182,Male,Yes,0,Graduate,No,Low,Low,Few,0.029914529914529916,1.0,Semiurban,Y
183,Male,Yes,1,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,N
184,Female,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
185,Male,Yes,0,Graduate,Yes,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
186,Male,Yes,1,Graduate,Yes,Low,Low,Few,0.05128205128205129,0.0,Rural,N
187,Male,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,0.0,Rural,Y
188,Male,Yes,0,Graduate,Yes,Low,Low,Few,0.06196581196581197,1.0,Rural,Y
189,Male,Yes,0,Graduate,No,Low,Low,Few,0.029914529914529916,1.0,Rural,Y
190,Male,No,0,Not Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Rural,Y
191,Male,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,N
192,Male,Yes,0,Not Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,N
193,Male,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
194,Male,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Rural,Y
195,Male,Yes,1,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,N
196,Male,No,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Rural,Y
197,Female,No,0,Not Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
198,Female,Yes,0,Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
199,Male,No,0,Graduate,Yes,Low,Low,Few,0.06196581196581197,1.0,Urban,N
200,Male,Yes,1,Not Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Semiurban,Y
201,Male,No,2,Graduate,No,Low,Low,Few,0.06196581196581197,0.0,Semiurban,Y
202,Male,Yes,3+,Not Graduate,No,Low,Low,Few,0.029914529914529916,1.0,Urban,N
203,Male,Yes,1,Not Graduate,No,Low,Low,Few,0.06196581196581197,1.0,Urban,Y
